seed,pass,contract,trump,pred_ev,actual_gp,p
100000,1,,,0.0000,0.0000,0.0000
100003,0,durchmars,,5.0815,-6.0000,0.9235
100007,0,ulti,hearts,3.5918,8.0000,0.8163
100010,1,,,0.0000,0.0000,0.0000
100008,0,ulti,bells,0.8244,4.0000,0.7354
100004,0,ulti,leaves,3.5008,4.0000,0.9584
100013,1,,,0.0000,0.0000,0.0000
100014,0,durchmars,,4.6547,-6.0000,0.8879
100015,1,,,0.0000,0.0000,0.0000
100006,0,ulti,hearts,7.2101,8.0000,0.9671
100005,0,parti,bells,0.4916,-1.0000,0.7458
100018,1,,,0.0000,0.0000,0.0000
100002,0,parti,leaves,0.9978,1.0000,0.9989
100020,1,,,0.0000,0.0000,0.0000
100012,0,ulti,hearts,3.7997,-16.0000,0.8250
100022,1,,,0.0000,0.0000,0.0000
100017,0,parti,hearts,1.1703,-2.0000,0.7926
100019,0,parti,hearts,0.0103,2.0000,0.5026
100024,0,ulti,leaves,3.5875,-8.0000,0.9656
100016,0,parti,hearts,1.9754,2.0000,0.9938
100027,1,,,0.0000,0.0000,0.0000
100026,0,durchmars,,2.3699,-6.0000,0.6975
100001,0,parti,bells,0.9586,1.0000,0.9793
100029,0,betli,,1.3058,-5.0000,0.6306
100023,0,ulti,bells,2.7607,-8.0000,0.8967
100025,0,ulti,bells,3.8305,4.0000,0.9859
100033,0,durchmars,,5.6920,-6.0000,0.9743
100031,0,ulti,hearts,7.9499,8.0000,0.9979
100011,0,ulti,bells,3.9971,4.0000,0.9998
100036,0,durchmars,,1.1190,-6.0000,0.5932
100032,0,ulti,hearts,5.7024,-16.0000,0.9043
100038,1,,,0.0000,0.0000,0.0000
100035,0,ulti,leaves,3.0897,-8.0000,0.9241
100040,1,,,0.0000,0.0000,0.0000
100039,0,ulti,acorns,3.4273,-8.0000,0.9523
100021,0,ulti,hearts,7.9855,8.0000,0.9994
100030,0,parti,leaves,0.9955,1.0000,0.9978
100041,0,ulti,bells,1.5711,-8.0000,0.7976
100045,1,,,0.0000,0.0000,0.0000
100046,1,,,0.0000,0.0000,0.0000
100044,0,ulti,hearts,6.7523,8.0000,0.9480
100048,0,durchmars,,5.9963,-6.0000,0.9997
100037,0,ulti,hearts,7.4849,8.0000,0.9785
100049,0,ulti,leaves,3.4212,4.0000,0.9518
100051,1,,,0.0000,0.0000,0.0000
100034,0,ulti,hearts,7.9092,8.0000,0.9962
100050,0,ulti,acorns,0.6928,-8.0000,0.7244
100054,1,,,0.0000,0.0000,0.0000
100043,0,parti,acorns,0.9067,1.0000,0.9534
100047,0,parti,hearts,0.5643,-2.0000,0.6411
100042,0,parti,acorns,0.4445,-1.0000,0.7222
100058,0,parti,hearts,1.8833,2.0000,0.9708
100055,0,ulti,bells,3.8555,4.0000,0.9880
100053,0,ulti,bells,3.7135,4.0000,0.9761
100057,0,ulti,hearts,5.5046,8.0000,0.8960
100062,1,,,0.0000,0.0000,0.0000
100061,0,ulti,acorns,2.8363,4.0000,0.9030
100063,1,,,0.0000,0.0000,0.0000
100065,1,,,0.0000,0.0000,0.0000
100060,0,ulti,hearts,6.2426,8.0000,0.9268
100009,0,parti,bells,0.7530,-1.0000,0.8765
100068,1,,,0.0000,0.0000,0.0000
100066,0,betli,,0.7789,-5.0000,0.5779
100069,0,parti,leaves,0.3459,-1.0000,0.6729
100070,0,ulti,bells,3.2310,-8.0000,0.9359
100071,0,ulti,hearts,7.4024,8.0000,0.9751
100073,1,,,0.0000,0.0000,0.0000
100074,1,,,0.0000,0.0000,0.0000
100052,0,ulti,leaves,3.7521,4.0000,0.9793
100028,0,parti,acorns,0.3229,-1.0000,0.6615
100072,0,ulti,bells,3.7723,-8.0000,0.9810
100067,0,ulti,bells,3.8918,4.0000,0.9910
100078,0,ulti,hearts,4.0751,8.0000,0.8365
100077,0,ulti,bells,3.6778,4.0000,0.9731
100076,0,betli,,0.3698,-5.0000,0.5370
100082,1,,,0.0000,0.0000,0.0000
100059,0,ulti,bells,3.3500,4.0000,0.9458
100079,0,ulti,hearts,4.9599,8.0000,0.8733
100075,0,ulti,bells,3.9033,4.0000,0.9919
100056,0,ulti,bells,3.9916,4.0000,0.9993
100086,0,ulti,hearts,3.0959,-16.0000,0.7957
100088,1,,,0.0000,0.0000,0.0000
100084,0,betli,,1.9596,5.0000,0.6960
100085,0,ulti,bells,3.7600,4.0000,0.9800
100087,0,ulti,leaves,3.2386,4.0000,0.9366
100092,1,,,0.0000,0.0000,0.0000
100083,0,parti,hearts,1.6837,-2.0000,0.9209
100094,1,,,0.0000,0.0000,0.0000
100081,0,ulti,bells,2.6119,4.0000,0.8843
100096,0,durchmars,,5.2490,-6.0000,0.9374
100097,1,,,0.0000,0.0000,0.0000
100080,0,parti,bells,0.1855,1.0000,0.5927
100064,0,parti,hearts,0.8452,-2.0000,0.7113
100095,0,ulti,acorns,2.9541,-8.0000,0.9128
100099,0,ulti,hearts,7.3280,-16.0000,0.9720
100101,0,ulti,bells,3.9855,4.0000,0.9988
100103,1,,,0.0000,0.0000,0.0000
100089,0,ulti,bells,2.0235,4.0000,0.8353
100105,1,,,0.0000,0.0000,0.0000
100102,0,ulti,acorns,3.7214,4.0000,0.9768
100107,1,,,0.0000,0.0000,0.0000
