seed,pass,contract,trump,pred_ev,actual_gp,p
100000,1,,,0.0000,0.0000,0.0000
100005,1,,,0.0000,0.0000,0.0000
100008,1,,,0.0000,0.0000,0.0000
100010,1,,,0.0000,0.0000,0.0000
100004,0,ulti,bells,3.1780,-8.0000,0.9315
100007,0,ulti,hearts,4.4457,8.0000,0.8519
100013,1,,,0.0000,0.0000,0.0000
100006,0,ulti,hearts,7.0138,8.0000,0.9589
100015,1,,,0.0000,0.0000,0.0000
100014,0,ulti,leaves,3.8553,4.0000,0.9879
100002,0,parti,leaves,0.9986,1.0000,0.9993
100018,1,,,0.0000,0.0000,0.0000
100019,1,,,0.0000,0.0000,0.0000
100020,1,,,0.0000,0.0000,0.0000
100012,0,ulti,hearts,4.6161,-16.0000,0.8590
100022,1,,,0.0000,0.0000,0.0000
100017,0,parti,hearts,1.2251,-2.0000,0.8063
100024,0,ulti,leaves,3.7087,-8.0000,0.9757
100016,0,parti,hearts,1.9916,2.0000,0.9979
100026,0,parti,hearts,1.9999,2.0000,1.0000
100027,1,,,0.0000,0.0000,0.0000
100028,1,,,0.0000,0.0000,0.0000
100029,1,,,0.0000,0.0000,0.0000
100011,0,ulti,bells,3.9998,4.0000,1.0000
100023,0,ulti,bells,3.1880,-8.0000,0.9323
100031,0,ulti,hearts,7.8840,8.0000,0.9952
100001,0,parti,bells,0.9395,1.0000,0.9698
100032,0,ulti,hearts,5.2290,-16.0000,0.8845
100035,0,ulti,leaves,2.6242,-8.0000,0.8854
100030,0,parti,leaves,0.9991,1.0000,0.9995
100025,0,ulti,bells,3.8840,4.0000,0.9903
100038,1,,,0.0000,0.0000,0.0000
100033,0,parti,leaves,0.9999,1.0000,0.9999
100040,1,,,0.0000,0.0000,0.0000
100039,0,ulti,acorns,2.9166,-8.0000,0.9097
100041,0,ulti,bells,2.5246,-8.0000,0.8770
100036,0,parti,leaves,0.9966,1.0000,0.9983
100034,0,ulti,hearts,7.9476,8.0000,0.9978
100045,1,,,0.0000,0.0000,0.0000
100046,1,,,0.0000,0.0000,0.0000
100047,1,,,0.0000,0.0000,0.0000
100037,0,ulti,hearts,7.7345,8.0000,0.9889
100044,0,ulti,hearts,4.1914,8.0000,0.8413
100043,0,parti,acorns,0.9885,1.0000,0.9942
100049,0,ulti,leaves,3.3590,4.0000,0.9466
100050,0,ulti,acorns,1.6778,-8.0000,0.8065
100051,0,ulti,leaves,2.8232,4.0000,0.9019
100054,1,,,0.0000,0.0000,0.0000
100042,0,parti,leaves,0.6820,1.0000,0.8410
100009,0,parti,bells,0.6978,-1.0000,0.8489
100055,0,ulti,bells,3.9087,4.0000,0.9924
100048,0,parti,acorns,0.9974,1.0000,0.9987
100058,0,parti,hearts,1.9526,2.0000,0.9881
100053,0,ulti,bells,3.8732,4.0000,0.9894
100057,0,ulti,hearts,5.6752,8.0000,0.9031
100062,1,,,0.0000,0.0000,0.0000
100063,1,,,0.0000,0.0000,0.0000
100021,0,ulti,hearts,7.9930,8.0000,0.9997
100065,1,,,0.0000,0.0000,0.0000
100066,1,,,0.0000,0.0000,0.0000
100061,0,ulti,acorns,3.1037,4.0000,0.9253
100060,0,ulti,hearts,7.2845,8.0000,0.9702
100068,1,,,0.0000,0.0000,0.0000
100069,1,,,0.0000,0.0000,0.0000
100070,0,ulti,bells,3.6570,-8.0000,0.9714
100071,0,ulti,hearts,7.8095,8.0000,0.9921
100073,1,,,0.0000,0.0000,0.0000
100074,1,,,0.0000,0.0000,0.0000
100072,0,ulti,bells,3.9192,-8.0000,0.9933
100076,1,,,0.0000,0.0000,0.0000
100052,0,ulti,leaves,3.7720,4.0000,0.9810
100003,0,ulti,leaves,3.9767,4.0000,0.9981
100059,0,ulti,bells,3.5356,4.0000,0.9613
100080,1,,,0.0000,0.0000,0.0000
100078,0,ulti,leaves,3.7114,4.0000,0.9759
100082,1,,,0.0000,0.0000,0.0000
100077,0,ulti,bells,3.6336,4.0000,0.9695
100084,1,,,0.0000,0.0000,0.0000
100079,0,ulti,hearts,5.8881,8.0000,0.9120
100075,0,ulti,bells,3.9688,4.0000,0.9974
100067,0,ulti,bells,3.9745,4.0000,0.9979
100088,1,,,0.0000,0.0000,0.0000
100086,0,ulti,hearts,1.8245,8.0000,0.7427
100085,0,ulti,bells,3.8141,4.0000,0.9845
100087,0,ulti,leaves,3.5371,4.0000,0.9614
100092,1,,,0.0000,0.0000,0.0000
100081,0,ulti,bells,2.0968,4.0000,0.8414
100094,1,,,0.0000,0.0000,0.0000
100089,0,ulti,bells,2.2490,4.0000,0.8541
100083,0,parti,hearts,1.9315,-2.0000,0.9829
100097,1,,,0.0000,0.0000,0.0000
100098,1,,,0.0000,0.0000,0.0000
100095,0,ulti,acorns,3.2563,-8.0000,0.9380
100056,0,ulti,bells,3.9972,4.0000,0.9998
100090,0,parti,hearts,1.8893,2.0000,0.9723
100091,0,ulti,bells,3.8618,4.0000,0.9885
100103,1,,,0.0000,0.0000,0.0000
100099,0,ulti,hearts,6.1375,-16.0000,0.9224
100105,1,,,0.0000,0.0000,0.0000
100064,0,parti,hearts,1.4197,-2.0000,0.8549
100107,1,,,0.0000,0.0000,0.0000
100102,0,ulti,acorns,3.3635,4.0000,0.9470
100109,1,,,0.0000,0.0000,0.0000
100110,0,ulti,leaves,3.0502,-8.0000,0.9209
100101,0,ulti,bells,3.9979,4.0000,0.9998
100108,0,betli,,4.8799,-5.0000,0.9880
100106,0,parti,acorns,0.9965,1.0000,0.9982
100104,0,ulti,bells,3.0940,4.0000,0.9245
100115,0,parti,hearts,1.9999,2.0000,1.0000
100116,0,ulti,acorns,3.9355,4.0000,0.9946
100111,0,ulti,leaves,3.9681,4.0000,0.9973
100096,0,parti,acorns,0.9208,1.0000,0.9604
100119,0,parti,hearts,1.9996,2.0000,0.9999
100114,0,ulti,hearts,7.0005,8.0000,0.9584
100121,1,,,0.0000,0.0000,0.0000
100117,0,ulti,bells,3.9758,4.0000,0.9980
100120,0,ulti,acorns,2.3700,4.0000,0.8642
100112,0,parti,acorns,0.9420,1.0000,0.9710
100125,1,,,0.0000,0.0000,0.0000
100113,0,parti,acorns,0.9582,-1.0000,0.9791
100124,0,parti,acorns,0.9937,1.0000,0.9969
100128,0,ulti,hearts,7.3236,8.0000,0.9718
100129,1,,,0.0000,0.0000,0.0000
100130,1,,,0.0000,0.0000,0.0000
100118,0,ulti,hearts,6.5622,8.0000,0.9401
100127,0,ulti,acorns,3.5126,-8.0000,0.9594
100123,0,ulti,hearts,7.9581,8.0000,0.9983
100134,1,,,0.0000,0.0000,0.0000
100131,0,betli,,4.2668,-5.0000,0.9267
100133,0,parti,acorns,0.9974,1.0000,0.9987
100136,0,ulti,bells,1.9352,4.0000,0.8279
100138,1,,,0.0000,0.0000,0.0000
100139,0,parti,hearts,1.2805,2.0000,0.8201
100140,1,,,0.0000,0.0000,0.0000
100137,0,parti,hearts,1.5119,-2.0000,0.8780
100142,1,,,0.0000,0.0000,0.0000
100132,0,ulti,hearts,7.8808,8.0000,0.9950
100135,0,ulti,leaves,3.8369,4.0000,0.9864
100145,1,,,0.0000,0.0000,0.0000
100146,1,,,0.0000,0.0000,0.0000
100122,0,ulti,bells,3.8487,4.0000,0.9874
100126,0,parti,bells,0.9542,1.0000,0.9771
100143,0,parti,hearts,1.6612,2.0000,0.9153
100148,0,ulti,bells,2.8795,-8.0000,0.9066
100144,0,parti,hearts,0.7847,-2.0000,0.6962
100152,1,,,0.0000,0.0000,0.0000
100141,0,ulti,acorns,3.9943,4.0000,0.9995
100154,1,,,0.0000,0.0000,0.0000
100147,0,ulti,acorns,2.1663,-8.0000,0.8472
100153,0,ulti,bells,3.5309,4.0000,0.9609
100151,0,ulti,bells,3.7987,-8.0000,0.9832
100155,0,ulti,leaves,3.6297,4.0000,0.9691
100159,1,,,0.0000,0.0000,0.0000
100160,1,,,0.0000,0.0000,0.0000
100158,0,ulti,leaves,3.8472,4.0000,0.9873
100162,1,,,0.0000,0.0000,0.0000
100157,0,parti,hearts,0.7536,-2.0000,0.6884
100156,0,ulti,bells,3.9998,4.0000,1.0000
100161,0,parti,hearts,1.8022,-2.0000,0.9506
100150,0,parti,acorns,0.8747,1.0000,0.9374
100165,0,parti,bells,0.7815,-1.0000,0.8907
100166,0,ulti,hearts,3.5157,-16.0000,0.8132
100169,1,,,0.0000,0.0000,0.0000
100170,1,,,0.0000,0.0000,0.0000
100171,1,,,0.0000,0.0000,0.0000
100164,0,ulti,hearts,7.7610,8.0000,0.9900
100093,0,ulti,leaves,3.9969,4.0000,0.9997
100167,0,ulti,hearts,4.1900,8.0000,0.8413
100175,1,,,0.0000,0.0000,0.0000
100100,0,parti,acorns,0.9468,1.0000,0.9734
100172,0,parti,bells,0.6147,-1.0000,0.8073
100173,0,ulti,bells,3.9646,4.0000,0.9970
100168,0,ulti,bells,3.9858,-8.0000,0.9988
100177,0,ulti,hearts,7.5827,8.0000,0.9826
100176,0,parti,hearts,1.9718,2.0000,0.9930
100149,0,parti,hearts,1.2654,-2.0000,0.8164
100180,0,parti,hearts,1.8274,-2.0000,0.9569
100184,1,,,0.0000,0.0000,0.0000
100185,1,,,0.0000,0.0000,0.0000
100174,0,ulti,hearts,7.8706,8.0000,0.9946
100187,1,,,0.0000,0.0000,0.0000
100183,0,ulti,bells,1.9521,4.0000,0.8293
100178,0,parti,acorns,0.8320,1.0000,0.9160
100186,0,parti,hearts,1.9962,2.0000,0.9991
100189,0,ulti,bells,3.5099,4.0000,0.9592
100188,0,ulti,bells,2.5658,4.0000,0.8805
100193,1,,,0.0000,0.0000,0.0000
100194,1,,,0.0000,0.0000,0.0000
100192,0,parti,hearts,1.9933,2.0000,0.9983
100196,1,,,0.0000,0.0000,0.0000
100191,0,parti,hearts,1.9697,2.0000,0.9924
100179,0,parti,hearts,1.8070,-2.0000,0.9518
100199,1,,,0.0000,0.0000,0.0000
100182,0,ulti,acorns,3.9965,4.0000,0.9997
100190,0,parti,leaves,0.5894,1.0000,0.7947
100198,0,ulti,acorns,1.8275,4.0000,0.8190
100203,1,,,0.0000,0.0000,0.0000
100204,1,,,0.0000,0.0000,0.0000
100202,0,ulti,leaves,2.0011,4.0000,0.8334
100205,0,parti,hearts,1.4250,-2.0000,0.8562
100207,1,,,0.0000,0.0000,0.0000
100208,0,ulti,leaves,1.8990,-8.0000,0.8249
100206,0,ulti,hearts,6.7370,8.0000,0.9474
100210,1,,,0.0000,0.0000,0.0000
100211,1,,,0.0000,0.0000,0.0000
100209,0,ulti,hearts,4.0724,-16.0000,0.8363
100213,1,,,0.0000,0.0000,0.0000
100200,0,ulti,leaves,3.6343,4.0000,0.9695
100212,0,parti,hearts,1.2802,2.0000,0.8201
100214,0,ulti,leaves,2.9660,-8.0000,0.9138
100216,0,ulti,leaves,2.9164,-8.0000,0.9097
100218,1,,,0.0000,0.0000,0.0000
100195,0,ulti,bells,3.8950,4.0000,0.9912
100220,1,,,0.0000,0.0000,0.0000
100163,0,ulti,leaves,3.9008,4.0000,0.9917
100219,0,ulti,leaves,3.5808,4.0000,0.9651
100223,1,,,0.0000,0.0000,0.0000
100224,1,,,0.0000,0.0000,0.0000
100225,1,,,0.0000,0.0000,0.0000
100226,1,,,0.0000,0.0000,0.0000
100227,1,,,0.0000,0.0000,0.0000
100217,0,ulti,bells,1.6003,-8.0000,0.8000
100222,0,ulti,leaves,2.2583,-8.0000,0.8549
100221,0,ulti,leaves,1.5938,4.0000,0.7995
100215,0,parti,hearts,0.9681,2.0000,0.7420
