seed,pass,contract,trump,pred_ev,actual_gp,p
100000,1,,,0.0000,0.0000,0.0000
100004,0,ulti,bells,3.1780,-8.0000,0.9315
100007,0,ulti,hearts,4.4457,8.0000,0.8519
100001,0,betli,,2.4627,-5.0000,0.7463
100006,0,ulti,hearts,7.0138,8.0000,0.9589
100005,0,parti,leaves,0.3549,-1.0000,0.6774
100002,0,parti,leaves,0.9986,1.0000,0.9993
100008,0,ulti,bells,1.0858,4.0000,0.7571
100013,1,,,0.0000,0.0000,0.0000
100010,0,parti,bells,0.0653,-1.0000,0.5326
100015,1,,,0.0000,0.0000,0.0000
100014,0,ulti,leaves,3.8553,4.0000,0.9879
100012,0,ulti,hearts,4.6161,-16.0000,0.8590
100011,0,ulti,bells,3.9998,4.0000,1.0000
100018,1,,,0.0000,0.0000,0.0000
100020,1,,,0.0000,0.0000,0.0000
100017,0,parti,hearts,1.2251,-2.0000,0.8063
100016,0,parti,hearts,1.9916,2.0000,0.9979
100019,0,parti,bells,0.1247,-1.0000,0.5624
100022,1,,,0.0000,0.0000,0.0000
100024,0,ulti,leaves,3.7087,-8.0000,0.9757
100027,1,,,0.0000,0.0000,0.0000
100009,0,parti,bells,0.6978,-1.0000,0.8489
100026,0,parti,hearts,1.9999,2.0000,1.0000
100023,0,ulti,bells,3.1880,-8.0000,0.9323
100003,0,ulti,leaves,3.9767,4.0000,0.9981
100025,0,ulti,bells,3.8840,4.0000,0.9903
100029,0,betli,,1.3958,-5.0000,0.6396
100031,0,ulti,hearts,7.8840,8.0000,0.9952
100032,0,ulti,hearts,5.2290,-16.0000,0.8845
100030,0,parti,leaves,0.9991,1.0000,0.9995
100033,0,parti,leaves,0.9999,1.0000,0.9999
100021,0,ulti,hearts,7.9930,8.0000,0.9997
100035,0,ulti,leaves,2.6242,-8.0000,0.8854
100034,0,ulti,hearts,7.9476,8.0000,0.9978
100038,1,,,0.0000,0.0000,0.0000
100036,0,parti,leaves,0.9966,1.0000,0.9983
100037,0,ulti,hearts,7.7345,8.0000,0.9889
100040,1,,,0.0000,0.0000,0.0000
100028,0,parti,acorns,0.1184,-1.0000,0.5592
100039,0,ulti,acorns,2.9166,-8.0000,0.9097
100041,0,ulti,bells,2.5246,-8.0000,0.8770
100045,1,,,0.0000,0.0000,0.0000
100044,0,ulti,hearts,4.1914,8.0000,0.8413
100046,1,,,0.0000,0.0000,0.0000
100042,0,parti,leaves,0.6820,1.0000,0.8410
100043,0,parti,acorns,0.9885,1.0000,0.9942
100047,0,parti,acorns,0.2140,-1.0000,0.6070
100049,0,ulti,leaves,3.3590,4.0000,0.9466
100050,0,ulti,acorns,1.6778,-8.0000,0.8065
100051,0,ulti,leaves,2.8232,4.0000,0.9019
100054,1,,,0.0000,0.0000,0.0000
100048,0,parti,acorns,0.9974,1.0000,0.9987
100053,0,ulti,bells,3.8732,4.0000,0.9894
100058,0,parti,hearts,1.9526,2.0000,0.9881
100060,0,ulti,hearts,7.2845,8.0000,0.9702
100055,0,ulti,bells,3.9087,4.0000,0.9924
100057,0,ulti,hearts,5.6752,8.0000,0.9031
100062,1,,,0.0000,0.0000,0.0000
100052,0,ulti,leaves,3.7720,4.0000,0.9810
100061,0,ulti,acorns,3.1037,4.0000,0.9253
100063,1,,,0.0000,0.0000,0.0000
100059,0,ulti,bells,3.5356,4.0000,0.9613
100065,1,,,0.0000,0.0000,0.0000
100068,1,,,0.0000,0.0000,0.0000
100066,0,betli,,1.7915,-5.0000,0.6792
100056,0,ulti,bells,3.9972,4.0000,0.9998
100070,0,ulti,bells,3.6570,-8.0000,0.9714
100069,0,parti,leaves,0.4748,-1.0000,0.7374
100073,1,,,0.0000,0.0000,0.0000
100074,1,,,0.0000,0.0000,0.0000
100071,0,ulti,hearts,7.8095,8.0000,0.9921
100067,0,ulti,bells,3.9745,4.0000,0.9979
100072,0,ulti,bells,3.9192,-8.0000,0.9933
100064,0,parti,hearts,1.4197,-2.0000,0.8549
100076,0,betli,,0.4917,-5.0000,0.5492
100075,0,ulti,bells,3.9688,4.0000,0.9974
100078,0,ulti,leaves,3.7114,4.0000,0.9759
100077,0,ulti,bells,3.6336,4.0000,0.9695
100082,1,,,0.0000,0.0000,0.0000
100079,0,ulti,hearts,5.8881,8.0000,0.9120
100080,0,parti,bells,0.2400,1.0000,0.6200
100081,0,ulti,bells,2.0968,4.0000,0.8414
100084,0,betli,,2.7405,5.0000,0.7741
