build: 2000 new seeds (target 2000); POOL n/a here
[build] 20/2000  8s  eta 12.9m  (153.4/min)  kept 17 (85%)
[build] 40/2000  12s  eta 9.9m  (197.8/min)  kept 34 (85%)
[build] 60/2000  19s  eta 10.3m  (187.4/min)  kept 54 (90%)
[build] 80/2000  26s  eta 10.4m  (184.9/min)  kept 72 (90%)
[build] 100/2000  32s  eta 10.0m  (190.3/min)  kept 90 (90%)
[build] 120/2000  38s  eta 9.8m  (191.9/min)  kept 109 (91%)
[build] 140/2000  43s  eta 9.5m  (196.0/min)  kept 125 (89%)
[build] 160/2000  49s  eta 9.3m  (197.9/min)  kept 141 (88%)
[build] 180/2000  56s  eta 9.4m  (194.5/min)  kept 158 (88%)
[build] 200/2000  61s  eta 9.2m  (196.7/min)  kept 175 (88%)
[build] 220/2000  66s  eta 9.0m  (198.6/min)  kept 193 (88%)
[build] 240/2000  72s  eta 8.8m  (201.0/min)  kept 207 (86%)
[build] 260/2000  76s  eta 8.5m  (205.6/min)  kept 224 (86%)
[build] 280/2000  82s  eta 8.4m  (205.0/min)  kept 242 (86%)
[build] 300/2000  89s  eta 8.4m  (202.2/min)  kept 259 (86%)
[build] 320/2000  94s  eta 8.2m  (204.0/min)  kept 276 (86%)
[build] 340/2000  100s  eta 8.1m  (204.6/min)  kept 293 (86%)
[build] 360/2000  106s  eta 8.1m  (203.0/min)  kept 310 (86%)
[build] 380/2000  113s  eta 8.1m  (201.1/min)  kept 329 (87%)
[build] 400/2000  118s  eta 7.9m  (202.8/min)  kept 346 (86%)
[build] 420/2000  126s  eta 7.9m  (200.7/min)  kept 364 (87%)
[build] 440/2000  131s  eta 7.7m  (201.3/min)  kept 383 (87%)
[build] 460/2000  139s  eta 7.7m  (199.0/min)  kept 399 (87%)
[build] 480/2000  144s  eta 7.6m  (199.8/min)  kept 417 (87%)
[build] 500/2000  150s  eta 7.5m  (199.4/min)  kept 435 (87%)
[build] 520/2000  156s  eta 7.4m  (200.3/min)  kept 454 (87%)
[build] 540/2000  162s  eta 7.3m  (200.0/min)  kept 474 (88%)
[build] 560/2000  169s  eta 7.2m  (199.1/min)  kept 489 (87%)
[build] 580/2000  177s  eta 7.2m  (197.1/min)  kept 508 (88%)
[build] 600/2000  182s  eta 7.1m  (198.1/min)  kept 525 (88%)
[build] 620/2000  189s  eta 7.0m  (197.1/min)  kept 545 (88%)
[build] 640/2000  197s  eta 7.0m  (195.0/min)  kept 565 (88%)
[build] 660/2000  202s  eta 6.8m  (195.7/min)  kept 584 (88%)
[build] 680/2000  210s  eta 6.8m  (194.6/min)  kept 604 (89%)
[build] 700/2000  215s  eta 6.7m  (195.5/min)  kept 621 (89%)
[build] 720/2000  221s  eta 6.5m  (195.7/min)  kept 641 (89%)
[build] 740/2000  228s  eta 6.5m  (194.9/min)  kept 659 (89%)
[build] 760/2000  233s  eta 6.3m  (195.4/min)  kept 678 (89%)
[build] 780/2000  239s  eta 6.2m  (195.5/min)  kept 695 (89%)
[build] 800/2000  245s  eta 6.1m  (195.8/min)  kept 715 (89%)
[build] 820/2000  250s  eta 6.0m  (196.8/min)  kept 732 (89%)
[build] 840/2000  255s  eta 5.9m  (197.7/min)  kept 749 (89%)
