build: 4000 new seeds (target 6000); POOL n/a here
[build] 20/4000  8s  eta 27.1m  (146.9/min)  kept 15 (75%)
[build] 40/4000  14s  eta 22.7m  (174.6/min)  kept 32 (80%)
[build] 60/4000  20s  eta 21.4m  (184.0/min)  kept 49 (82%)
[build] 80/4000  26s  eta 21.1m  (186.1/min)  kept 67 (84%)
[build] 100/4000  32s  eta 20.7m  (188.1/min)  kept 84 (84%)
[build] 120/4000  40s  eta 21.5m  (180.5/min)  kept 103 (86%)
[build] 140/4000  46s  eta 21.1m  (183.2/min)  kept 121 (86%)
[build] 160/4000  51s  eta 20.3m  (188.9/min)  kept 137 (86%)
[build] 180/4000  57s  eta 20.1m  (190.4/min)  kept 156 (87%)
[build] 200/4000  64s  eta 20.4m  (186.6/min)  kept 176 (88%)
[build] 220/4000  69s  eta 19.7m  (192.0/min)  kept 193 (88%)
[build] 240/4000  75s  eta 19.7m  (191.3/min)  kept 210 (88%)
[build] 260/4000  79s  eta 19.0m  (197.1/min)  kept 226 (87%)
[build] 280/4000  87s  eta 19.2m  (193.3/min)  kept 244 (87%)
[build] 300/4000  95s  eta 19.4m  (190.4/min)  kept 262 (87%)
[build] 320/4000  104s  eta 19.8m  (185.5/min)  kept 280 (88%)
[build] 340/4000  111s  eta 19.9m  (184.2/min)  kept 298 (88%)
[build] 360/4000  118s  eta 19.8m  (183.5/min)  kept 315 (88%)
[build] 380/4000  123s  eta 19.5m  (185.4/min)  kept 333 (88%)
[build] 400/4000  130s  eta 19.5m  (184.2/min)  kept 352 (88%)
[build] 420/4000  134s  eta 19.1m  (187.5/min)  kept 370 (88%)
[build] 440/4000  142s  eta 19.1m  (186.1/min)  kept 389 (88%)
[build] 460/4000  146s  eta 18.7m  (189.1/min)  kept 406 (88%)
[build] 480/4000  154s  eta 18.8m  (187.5/min)  kept 424 (88%)
[build] 500/4000  158s  eta 18.4m  (189.9/min)  kept 440 (88%)
[build] 520/4000  162s  eta 18.1m  (192.5/min)  kept 459 (88%)
[build] 540/4000  170s  eta 18.2m  (190.5/min)  kept 477 (88%)
[build] 560/4000  177s  eta 18.1m  (190.1/min)  kept 495 (88%)
[build] 580/4000  183s  eta 18.0m  (189.9/min)  kept 512 (88%)
[build] 600/4000  191s  eta 18.0m  (188.7/min)  kept 530 (88%)
[build] 620/4000  198s  eta 18.0m  (188.0/min)  kept 548 (88%)
[build] 640/4000  204s  eta 17.9m  (187.9/min)  kept 563 (88%)
[build] 660/4000  210s  eta 17.7m  (188.6/min)  kept 580 (88%)
[build] 680/4000  217s  eta 17.6m  (188.3/min)  kept 599 (88%)
[build] 700/4000  223s  eta 17.5m  (188.6/min)  kept 617 (88%)
[build] 720/4000  229s  eta 17.4m  (188.8/min)  kept 634 (88%)
[build] 740/4000  232s  eta 17.1m  (191.0/min)  kept 650 (88%)
[build] 760/4000  237s  eta 16.8m  (192.8/min)  kept 668 (88%)
[build] 780/4000  245s  eta 16.9m  (190.8/min)  kept 686 (88%)
[build] 800/4000  252s  eta 16.8m  (190.2/min)  kept 705 (88%)
[build] 820/4000  257s  eta 16.6m  (191.6/min)  kept 725 (88%)
[build] 840/4000  262s  eta 16.5m  (192.0/min)  kept 745 (89%)
[build] 860/4000  269s  eta 16.3m  (192.2/min)  kept 764 (89%)
