pools: 1785 deals to solve (POOL=40/viewer, 1785 kept total)
[pools] 10/1785  4s  eta 11.0m  (161.7/min)  
[pools] 20/1785  6s  eta 8.6m  (205.3/min)  
[pools] 30/1785  8s  eta 8.1m  (215.8/min)  
[pools] 40/1785  10s  eta 7.4m  (237.3/min)  
[pools] 50/1785  12s  eta 7.0m  (246.9/min)  
[pools] 60/1785  15s  eta 7.1m  (242.4/min)  
[pools] 70/1785  17s  eta 6.9m  (249.6/min)  
[pools] 80/1785  19s  eta 6.8m  (251.8/min)  
[pools] 90/1785  22s  eta 6.8m  (250.5/min)  
[pools] 100/1785  24s  eta 6.7m  (250.4/min)  
[pools] 110/1785  26s  eta 6.7m  (250.5/min)  
[pools] 120/1785  28s  eta 6.5m  (256.6/min)  
[pools] 130/1785  31s  eta 6.5m  (253.4/min)  
[pools] 140/1785  33s  eta 6.5m  (254.0/min)  
[pools] 150/1785  35s  eta 6.4m  (253.8/min)  
[pools] 160/1785  37s  eta 6.3m  (258.6/min)  
[pools] 170/1785  39s  eta 6.2m  (259.3/min)  
[pools] 180/1785  42s  eta 6.3m  (255.8/min)  
[pools] 190/1785  44s  eta 6.1m  (259.6/min)  
[pools] 200/1785  47s  eta 6.2m  (256.4/min)  
[pools] 210/1785  48s  eta 6.1m  (260.1/min)  
[pools] 220/1785  51s  eta 6.1m  (258.4/min)  
[pools] 230/1785  54s  eta 6.0m  (257.3/min)  
[pools] 240/1785  55s  eta 5.9m  (260.0/min)  
[pools] 250/1785  58s  eta 5.9m  (259.2/min)  
[pools] 260/1785  61s  eta 6.0m  (256.3/min)  
[pools] 270/1785  63s  eta 5.9m  (258.0/min)  
[pools] 280/1785  66s  eta 5.9m  (256.4/min)  
[pools] 290/1785  67s  eta 5.8m  (258.1/min)  
[pools] 300/1785  69s  eta 5.7m  (259.8/min)  
[pools] 310/1785  71s  eta 5.7m  (260.9/min)  
[pools] 320/1785  74s  eta 5.7m  (258.6/min)  
[pools] 330/1785  76s  eta 5.6m  (259.7/min)  
[pools] 340/1785  78s  eta 5.5m  (260.7/min)  
[pools] 350/1785  81s  eta 5.5m  (260.0/min)  
[pools] 360/1785  83s  eta 5.5m  (260.4/min)  
[pools] 370/1785  85s  eta 5.4m  (261.7/min)  
[pools] 380/1785  88s  eta 5.4m  (260.4/min)  
[pools] 390/1785  90s  eta 5.4m  (260.3/min)  
[pools] 400/1785  92s  eta 5.3m  (260.1/min)  
[pools] 410/1785  94s  eta 5.3m  (261.3/min)  
[pools] 420/1785  96s  eta 5.2m  (261.4/min)  
[pools] 430/1785  99s  eta 5.2m  (261.3/min)  
[pools] 440/1785  101s  eta 5.1m  (261.7/min)  
[pools] 450/1785  103s  eta 5.1m  (263.4/min)  
[pools] 460/1785  104s  eta 5.0m  (264.2/min)  
[pools] 470/1785  106s  eta 5.0m  (264.9/min)  
[pools] 480/1785  109s  eta 4.9m  (265.3/min)  
[pools] 490/1785  111s  eta 4.9m  (264.2/min)  
[pools] 500/1785  114s  eta 4.9m  (262.8/min)  
[pools] 510/1785  116s  eta 4.8m  (263.5/min)  
[pools] 520/1785  118s  eta 4.8m  (264.0/min)  
[pools] 530/1785  120s  eta 4.8m  (264.1/min)  
[pools] 540/1785  122s  eta 4.7m  (264.7/min)  
[pools] 550/1785  125s  eta 4.7m  (264.2/min)  
[pools] 560/1785  127s  eta 4.6m  (264.3/min)  
[pools] 570/1785  129s  eta 4.6m  (265.1/min)  
[pools] 580/1785  131s  eta 4.5m  (264.8/min)  
[pools] 590/1785  134s  eta 4.5m  (264.3/min)  
[pools] 600/1785  136s  eta 4.5m  (264.2/min)  
[pools] 610/1785  138s  eta 4.4m  (264.9/min)  
[pools] 620/1785  141s  eta 4.4m  (264.0/min)  
[pools] 630/1785  143s  eta 4.4m  (264.7/min)  
[pools] 640/1785  145s  eta 4.3m  (264.2/min)  
[pools] 650/1785  148s  eta 4.3m  (264.3/min)  
[pools] 660/1785  150s  eta 4.3m  (264.6/min)  
[pools] 670/1785  152s  eta 4.2m  (264.9/min)  
[pools] 680/1785  154s  eta 4.2m  (264.7/min)  
[pools] 690/1785  156s  eta 4.1m  (264.9/min)  
[pools] 700/1785  158s  eta 4.1m  (265.2/min)  
[pools] 710/1785  160s  eta 4.0m  (265.8/min)  
[pools] 720/1785  163s  eta 4.0m  (265.6/min)  
[pools] 730/1785  165s  eta 4.0m  (265.7/min)  
[pools] 740/1785  167s  eta 3.9m  (265.9/min)  
[pools] 750/1785  169s  eta 3.9m  (266.6/min)  
[pools] 760/1785  170s  eta 3.8m  (267.5/min)  
[pools] 770/1785  172s  eta 3.8m  (267.8/min)  
[pools] 780/1785  175s  eta 3.8m  (267.2/min)  
[pools] 790/1785  177s  eta 3.7m  (268.0/min)  
[pools] 800/1785  180s  eta 3.7m  (266.8/min)  
