pools: 3589 deals to solve (POOL=40/viewer, 5374 kept total)
[pools] 10/3589  4s  eta 23.4m  (152.7/min)  
[pools] 20/3589  6s  eta 17.3m  (206.5/min)  
[pools] 30/3589  8s  eta 15.1m  (235.1/min)  
[pools] 40/3589  11s  eta 15.6m  (227.9/min)  
[pools] 50/3589  12s  eta 14.7m  (240.0/min)  
[pools] 60/3589  15s  eta 14.4m  (245.2/min)  
[pools] 70/3589  17s  eta 14.2m  (248.4/min)  
[pools] 80/3589  19s  eta 13.7m  (255.7/min)  
[pools] 90/3589  21s  eta 13.8m  (253.3/min)  
[pools] 100/3589  23s  eta 13.7m  (255.5/min)  
[pools] 110/3589  25s  eta 13.3m  (260.9/min)  
[pools] 120/3589  28s  eta 13.4m  (258.0/min)  
[pools] 130/3589  30s  eta 13.4m  (258.8/min)  
[pools] 140/3589  32s  eta 13.3m  (259.2/min)  
[pools] 150/3589  34s  eta 13.1m  (262.4/min)  
[pools] 160/3589  37s  eta 13.2m  (259.7/min)  
[pools] 170/3589  39s  eta 13.1m  (260.8/min)  
[pools] 180/3589  41s  eta 13.1m  (260.6/min)  
[pools] 190/3589  44s  eta 13.0m  (262.0/min)  
[pools] 200/3589  46s  eta 12.9m  (263.5/min)  
[pools] 210/3589  48s  eta 12.8m  (264.1/min)  
[pools] 220/3589  50s  eta 12.8m  (263.2/min)  
[pools] 230/3589  52s  eta 12.7m  (265.1/min)  
[pools] 240/3589  54s  eta 12.6m  (266.5/min)  
[pools] 250/3589  56s  eta 12.5m  (266.1/min)  
[pools] 260/3589  59s  eta 12.6m  (264.5/min)  
[pools] 270/3589  62s  eta 12.6m  (263.3/min)  
[pools] 280/3589  63s  eta 12.5m  (265.5/min)  
[pools] 290/3589  66s  eta 12.5m  (263.0/min)  
[pools] 300/3589  68s  eta 12.4m  (265.4/min)  
[pools] 310/3589  70s  eta 12.3m  (265.7/min)  
[pools] 320/3589  73s  eta 12.3m  (264.8/min)  
[pools] 330/3589  75s  eta 12.3m  (264.1/min)  
