realpools[ulti]: 405 deals × 2 viewers × 20 PIMC playouts (405 total)
[realpools] 10/405  271s  eta 178.4m  (2.2/min)  
[realpools] 20/405  447s  eta 143.4m  (2.7/min)  
[realpools] 30/405  634s  eta 132.1m  (2.8/min)  
[realpools] 40/405  819s  eta 124.6m  (2.9/min)  
[realpools] 50/405  994s  eta 117.7m  (3.0/min)  
[realpools] 60/405  1238s  eta 118.6m  (2.9/min)  
[realpools] 70/405  1380s  eta 110.0m  (3.0/min)  
[realpools] 80/405  1563s  eta 105.8m  (3.1/min)  
[realpools] 90/405  1739s  eta 101.5m  (3.1/min)  
[realpools] 100/405  1923s  eta 97.8m  (3.1/min)  
[realpools] 110/405  2159s  eta 96.5m  (3.1/min)  
[realpools] 120/405  2322s  eta 91.9m  (3.1/min)  
[realpools] 130/405  2537s  eta 89.4m  (3.1/min)  
[realpools] 140/405  2738s  eta 86.4m  (3.1/min)  
[realpools] 150/405  2899s  eta 82.1m  (3.1/min)  
[realpools] 160/405  3137s  eta 80.1m  (3.1/min)  
[realpools] 170/405  3296s  eta 75.9m  (3.1/min)  
[realpools] 180/405  3472s  eta 72.3m  (3.1/min)  
[realpools] 190/405  3661s  eta 69.1m  (3.1/min)  
[realpools] 200/405  3851s  eta 65.8m  (3.1/min)  
[realpools] 210/405  4012s  eta 62.1m  (3.1/min)  
[realpools] 220/405  4235s  eta 59.4m  (3.1/min)  
[realpools] 230/405  4390s  eta 55.7m  (3.1/min)  
[realpools] 240/405  4552s  eta 52.2m  (3.2/min)  
[realpools] 250/405  4799s  eta 49.6m  (3.1/min)  
[realpools] 260/405  4961s  eta 46.1m  (3.1/min)  
[realpools] 270/405  5147s  eta 42.9m  (3.1/min)  
[realpools] 280/405  5305s  eta 39.5m  (3.2/min)  
[realpools] 290/405  5516s  eta 36.5m  (3.2/min)  
[realpools] 300/405  5712s  eta 33.3m  (3.2/min)  
[realpools] 310/405  5895s  eta 30.1m  (3.2/min)  
[realpools] 320/405  6076s  eta 26.9m  (3.2/min)  
[realpools] 330/405  6216s  eta 23.5m  (3.2/min)  
[realpools] 340/405  6348s  eta 20.2m  (3.2/min)  
[realpools] 350/405  6562s  eta 17.2m  (3.2/min)  
[realpools] 360/405  6745s  eta 14.1m  (3.2/min)  
[realpools] 370/405  6929s  eta 10.9m  (3.2/min)  
[realpools] 380/405  7149s  eta 7.8m  (3.2/min)  
[realpools] 390/405  7351s  eta 4.7m  (3.2/min)  
[realpools] 400/405  7532s  eta 1.6m  (3.2/min)  
realpools done
