pools: 8000 deals (8000 kept), POOL=24/unit/viewer
[pools] 20/8000 1s eta 9.7m (824/min) 
[pools] 40/8000 3s eta 8.5m (935/min) 
[pools] 60/8000 4s eta 9.1m (871/min) 
[pools] 80/8000 6s eta 9.8m (808/min) 
[pools] 100/8000 7s eta 8.8m (893/min) 
[pools] 120/8000 8s eta 8.4m (939/min) 
[pools] 140/8000 9s eta 8.1m (968/min) 
[pools] 160/8000 10s eta 7.9m (996/min) 
[pools] 180/8000 11s eta 7.7m (1018/min) 
[pools] 200/8000 11s eta 7.3m (1066/min) 
[pools] 220/8000 12s eta 7.2m (1075/min) 
[pools] 240/8000 13s eta 7.1m (1098/min) 
[pools] 260/8000 14s eta 7.0m (1112/min) 
[pools] 280/8000 15s eta 7.0m (1100/min) 
[pools] 300/8000 16s eta 6.9m (1114/min) 
[pools] 320/8000 17s eta 7.0m (1098/min) 
[pools] 340/8000 19s eta 7.1m (1081/min) 
[pools] 360/8000 21s eta 7.3m (1053/min) 
[pools] 380/8000 22s eta 7.3m (1050/min) 
[pools] 400/8000 23s eta 7.2m (1051/min) 
[pools] 420/8000 24s eta 7.2m (1054/min) 
[pools] 440/8000 25s eta 7.0m (1076/min) 
[pools] 460/8000 25s eta 6.9m (1099/min) 
[pools] 480/8000 26s eta 6.8m (1110/min) 
[pools] 500/8000 27s eta 6.8m (1110/min) 
[pools] 520/8000 28s eta 6.8m (1100/min) 
[pools] 540/8000 30s eta 6.8m (1098/min) 
[pools] 560/8000 31s eta 6.9m (1080/min) 
[pools] 580/8000 33s eta 7.0m (1053/min) 
[pools] 600/8000 35s eta 7.2m (1031/min) 
[pools] 620/8000 36s eta 7.1m (1038/min) 
[pools] 640/8000 37s eta 7.0m (1051/min) 
[pools] 660/8000 38s eta 7.0m (1056/min) 
[pools] 680/8000 38s eta 6.9m (1066/min) 
[pools] 700/8000 40s eta 6.9m (1057/min) 
[pools] 720/8000 41s eta 6.9m (1053/min) 
[pools] 740/8000 42s eta 6.9m (1059/min) 
[pools] 760/8000 43s eta 6.8m (1068/min) 
[pools] 780/8000 44s eta 6.7m (1072/min) 
[pools] 800/8000 45s eta 6.7m (1074/min) 
[pools] 820/8000 46s eta 6.7m (1071/min) 
[pools] 840/8000 47s eta 6.7m (1074/min) 
[pools] 860/8000 48s eta 6.6m (1078/min) 
[pools] 880/8000 49s eta 6.6m (1082/min) 
[pools] 900/8000 50s eta 6.6m (1079/min) 
[pools] 920/8000 51s eta 6.6m (1080/min) 
[pools] 940/8000 52s eta 6.5m (1081/min) 
[pools] 960/8000 53s eta 6.5m (1080/min) 
[pools] 980/8000 54s eta 6.4m (1089/min) 
[pools] 1000/8000 56s eta 6.5m (1081/min) 
[pools] 1020/8000 56s eta 6.4m (1089/min) 
[pools] 1040/8000 57s eta 6.4m (1092/min) 
[pools] 1060/8000 58s eta 6.3m (1096/min) 
[pools] 1080/8000 59s eta 6.3m (1097/min) 
[pools] 1100/8000 60s eta 6.3m (1101/min) 
[pools] 1120/8000 61s eta 6.2m (1104/min) 
[pools] 1140/8000 62s eta 6.2m (1099/min) 
[pools] 1160/8000 63s eta 6.2m (1101/min) 
[pools] 1180/8000 64s eta 6.2m (1103/min) 
[pools] 1200/8000 65s eta 6.2m (1103/min) 
[pools] 1220/8000 66s eta 6.1m (1106/min) 
[pools] 1240/8000 67s eta 6.1m (1111/min) 
[pools] 1260/8000 68s eta 6.1m (1110/min) 
[pools] 1280/8000 69s eta 6.0m (1115/min) 
[pools] 1300/8000 70s eta 6.0m (1120/min) 
[pools] 1320/8000 71s eta 6.0m (1121/min) 
[pools] 1340/8000 71s eta 5.9m (1125/min) 
[pools] 1360/8000 73s eta 5.9m (1125/min) 
[pools] 1380/8000 74s eta 5.9m (1124/min) 
[pools] 1400/8000 74s eta 5.8m (1129/min) 
[pools] 1420/8000 75s eta 5.8m (1129/min) 
[pools] 1440/8000 76s eta 5.8m (1134/min) 
[pools] 1460/8000 77s eta 5.8m (1132/min) 
[pools] 1480/8000 78s eta 5.8m (1132/min) 
[pools] 1500/8000 79s eta 5.7m (1134/min) 
[pools] 1520/8000 81s eta 5.7m (1129/min) 
[pools] 1540/8000 82s eta 5.8m (1121/min) 
[pools] 1560/8000 85s eta 5.8m (1107/min) 
[pools] 1580/8000 86s eta 5.8m (1106/min) 
[pools] 1600/8000 87s eta 5.8m (1106/min) 
[pools] 1620/8000 88s eta 5.8m (1103/min) 
[pools] 1640/8000 89s eta 5.8m (1102/min) 
[pools] 1660/8000 91s eta 5.8m (1099/min) 
[pools] 1680/8000 92s eta 5.8m (1098/min) 
[pools] 1700/8000 93s eta 5.7m (1100/min) 
[pools] 1720/8000 94s eta 5.7m (1101/min) 
[pools] 1740/8000 95s eta 5.7m (1103/min) 
[pools] 1760/8000 96s eta 5.7m (1097/min) 
[pools] 1780/8000 97s eta 5.7m (1098/min) 
[pools] 1800/8000 98s eta 5.6m (1101/min) 
[pools] 1820/8000 99s eta 5.6m (1103/min) 
[pools] 1840/8000 100s eta 5.6m (1103/min) 
[pools] 1860/8000 101s eta 5.6m (1106/min) 
[pools] 1880/8000 102s eta 5.5m (1110/min) 
[pools] 1900/8000 102s eta 5.5m (1113/min) 
[pools] 1920/8000 104s eta 5.5m (1111/min) 
[pools] 1940/8000 105s eta 5.5m (1107/min) 
[pools] 1960/8000 106s eta 5.5m (1106/min) 
[pools] 1980/8000 107s eta 5.4m (1106/min) 
[pools] 2000/8000 108s eta 5.4m (1107/min) 
[pools] 2020/8000 109s eta 5.4m (1109/min) 
[pools] 2040/8000 110s eta 5.4m (1111/min) 
[pools] 2060/8000 111s eta 5.3m (1115/min) 
[pools] 2080/8000 112s eta 5.3m (1110/min) 
[pools] 2100/8000 113s eta 5.3m (1113/min) 
[pools] 2120/8000 114s eta 5.3m (1116/min) 
[pools] 2140/8000 115s eta 5.2m (1118/min) 
[pools] 2160/8000 116s eta 5.2m (1115/min) 
[pools] 2180/8000 118s eta 5.2m (1111/min) 
[pools] 2200/8000 119s eta 5.2m (1108/min) 
[pools] 2220/8000 120s eta 5.2m (1108/min) 
[pools] 2240/8000 121s eta 5.2m (1110/min) 
[pools] 2260/8000 122s eta 5.2m (1111/min) 
[pools] 2280/8000 123s eta 5.1m (1114/min) 
[pools] 2300/8000 123s eta 5.1m (1118/min) 
[pools] 2320/8000 124s eta 5.1m (1120/min) 
[pools] 2340/8000 125s eta 5.1m (1120/min) 
[pools] 2360/8000 127s eta 5.0m (1118/min) 
[pools] 2380/8000 128s eta 5.0m (1118/min) 
[pools] 2400/8000 129s eta 5.0m (1116/min) 
[pools] 2420/8000 130s eta 5.0m (1115/min) 
[pools] 2440/8000 131s eta 5.0m (1115/min) 
[pools] 2460/8000 132s eta 5.0m (1115/min) 
[pools] 2480/8000 133s eta 4.9m (1116/min) 
[pools] 2500/8000 134s eta 4.9m (1115/min) 
[pools] 2520/8000 135s eta 4.9m (1119/min) 
[pools] 2540/8000 136s eta 4.9m (1123/min) 
[pools] 2560/8000 137s eta 4.8m (1125/min) 
[pools] 2580/8000 138s eta 4.8m (1125/min) 
[pools] 2600/8000 139s eta 4.8m (1125/min) 
[pools] 2620/8000 140s eta 4.8m (1126/min) 
[pools] 2640/8000 140s eta 4.8m (1128/min) 
[pools] 2660/8000 142s eta 4.8m (1124/min) 
[pools] 2680/8000 143s eta 4.7m (1125/min) 
[pools] 2700/8000 144s eta 4.7m (1122/min) 
[pools] 2720/8000 146s eta 4.7m (1118/min) 
[pools] 2740/8000 147s eta 4.7m (1120/min) 
[pools] 2760/8000 148s eta 4.7m (1122/min) 
[pools] 2780/8000 149s eta 4.7m (1121/min) 
[pools] 2800/8000 150s eta 4.7m (1118/min) 
[pools] 2820/8000 151s eta 4.6m (1118/min) 
[pools] 2840/8000 153s eta 4.6m (1111/min) 
[pools] 2860/8000 155s eta 4.6m (1109/min) 
[pools] 2880/8000 156s eta 4.6m (1110/min) 
[pools] 2900/8000 157s eta 4.6m (1109/min) 
[pools] 2920/8000 158s eta 4.6m (1111/min) 
[pools] 2940/8000 159s eta 4.6m (1108/min) 
[pools] 2960/8000 160s eta 4.5m (1108/min) 
[pools] 2980/8000 161s eta 4.5m (1109/min) 
[pools] 3000/8000 162s eta 4.5m (1110/min) 
[pools] 3020/8000 163s eta 4.5m (1108/min) 
[pools] 3040/8000 165s eta 4.5m (1106/min) 
[pools] 3060/8000 166s eta 4.5m (1108/min) 
[pools] 3080/8000 167s eta 4.4m (1107/min) 
[pools] 3100/8000 168s eta 4.4m (1110/min) 
[pools] 3120/8000 169s eta 4.4m (1110/min) 
[pools] 3140/8000 170s eta 4.4m (1110/min) 
[pools] 3160/8000 171s eta 4.4m (1110/min) 
[pools] 3180/8000 172s eta 4.4m (1107/min) 
[pools] 3200/8000 174s eta 4.4m (1102/min) 
[pools] 3220/8000 175s eta 4.3m (1102/min) 
[pools] 3240/8000 176s eta 4.3m (1105/min) 
[pools] 3260/8000 177s eta 4.3m (1105/min) 
[pools] 3280/8000 178s eta 4.3m (1107/min) 
[pools] 3300/8000 179s eta 4.2m (1107/min) 
[pools] 3320/8000 180s eta 4.2m (1105/min) 
[pools] 3340/8000 181s eta 4.2m (1105/min) 
[pools] 3360/8000 182s eta 4.2m (1107/min) 
[pools] 3380/8000 183s eta 4.2m (1108/min) 
[pools] 3400/8000 184s eta 4.1m (1109/min) 
[pools] 3420/8000 185s eta 4.1m (1111/min) 
[pools] 3440/8000 186s eta 4.1m (1112/min) 
[pools] 3460/8000 186s eta 4.1m (1114/min) 
[pools] 3480/8000 187s eta 4.1m (1116/min) 
[pools] 3500/8000 188s eta 4.0m (1116/min) 
[pools] 3520/8000 189s eta 4.0m (1116/min) 
[pools] 3540/8000 190s eta 4.0m (1117/min) 
[pools] 3560/8000 191s eta 4.0m (1116/min) 
[pools] 3580/8000 192s eta 4.0m (1117/min) 
[pools] 3600/8000 193s eta 3.9m (1118/min) 
[pools] 3620/8000 195s eta 3.9m (1116/min) 
[pools] 3640/8000 195s eta 3.9m (1118/min) 
[pools] 3660/8000 197s eta 3.9m (1116/min) 
[pools] 3680/8000 198s eta 3.9m (1117/min) 
[pools] 3700/8000 198s eta 3.8m (1119/min) 
[pools] 3720/8000 199s eta 3.8m (1120/min) 
[pools] 3740/8000 200s eta 3.8m (1121/min) 
[pools] 3760/8000 201s eta 3.8m (1122/min) 
[pools] 3780/8000 202s eta 3.8m (1122/min) 
[pools] 3800/8000 203s eta 3.7m (1122/min) 
[pools] 3820/8000 204s eta 3.7m (1123/min) 
[pools] 3840/8000 205s eta 3.7m (1123/min) 
[pools] 3860/8000 206s eta 3.7m (1124/min) 
[pools] 3880/8000 207s eta 3.7m (1123/min) 
[pools] 3900/8000 208s eta 3.7m (1123/min) 
[pools] 3920/8000 209s eta 3.6m (1123/min) 
[pools] 3940/8000 210s eta 3.6m (1124/min) 
[pools] 3960/8000 212s eta 3.6m (1122/min) 
[pools] 3980/8000 213s eta 3.6m (1122/min) 
[pools] 4000/8000 214s eta 3.6m (1123/min) 
[pools] 4020/8000 215s eta 3.5m (1122/min) 
[pools] 4040/8000 216s eta 3.5m (1124/min) 
[pools] 4060/8000 217s eta 3.5m (1121/min) 
[pools] 4080/8000 218s eta 3.5m (1121/min) 
[pools] 4100/8000 220s eta 3.5m (1119/min) 
[pools] 4120/8000 221s eta 3.5m (1118/min) 
[pools] 4140/8000 222s eta 3.5m (1118/min) 
[pools] 4160/8000 224s eta 3.5m (1113/min) 
[pools] 4180/8000 225s eta 3.4m (1114/min) 
[pools] 4200/8000 227s eta 3.4m (1112/min) 
[pools] 4220/8000 228s eta 3.4m (1109/min) 
[pools] 4240/8000 230s eta 3.4m (1107/min) 
[pools] 4260/8000 231s eta 3.4m (1107/min) 
[pools] 4280/8000 232s eta 3.4m (1107/min) 
[pools] 4300/8000 233s eta 3.3m (1108/min) 
[pools] 4320/8000 234s eta 3.3m (1109/min) 
[pools] 4340/8000 235s eta 3.3m (1108/min) 
[pools] 4360/8000 236s eta 3.3m (1106/min) 
[pools] 4380/8000 237s eta 3.3m (1107/min) 
[pools] 4400/8000 238s eta 3.2m (1108/min) 
[pools] 4420/8000 239s eta 3.2m (1108/min) 
[pools] 4440/8000 240s eta 3.2m (1109/min) 
[pools] 4460/8000 241s eta 3.2m (1110/min) 
[pools] 4480/8000 242s eta 3.2m (1110/min) 
[pools] 4500/8000 243s eta 3.2m (1110/min) 
[pools] 4520/8000 244s eta 3.1m (1110/min) 
[pools] 4540/8000 245s eta 3.1m (1110/min) 
[pools] 4560/8000 247s eta 3.1m (1107/min) 
[pools] 4580/8000 248s eta 3.1m (1108/min) 
[pools] 4600/8000 249s eta 3.1m (1109/min) 
[pools] 4620/8000 250s eta 3.0m (1109/min) 
[pools] 4640/8000 252s eta 3.0m (1107/min) 
[pools] 4660/8000 254s eta 3.0m (1101/min) 
[pools] 4680/8000 255s eta 3.0m (1101/min) 
[pools] 4700/8000 257s eta 3.0m (1099/min) 
[pools] 4720/8000 258s eta 3.0m (1099/min) 
[pools] 4740/8000 259s eta 3.0m (1096/min) 
[pools] 4760/8000 260s eta 3.0m (1097/min) 
[pools] 4780/8000 261s eta 2.9m (1097/min) 
[pools] 4800/8000 263s eta 2.9m (1097/min) 
[pools] 4820/8000 264s eta 2.9m (1097/min) 
[pools] 4840/8000 264s eta 2.9m (1099/min) 
[pools] 4860/8000 265s eta 2.9m (1099/min) 
[pools] 4880/8000 266s eta 2.8m (1099/min) 
[pools] 4900/8000 268s eta 2.8m (1097/min) 
[pools] 4920/8000 269s eta 2.8m (1098/min) 
[pools] 4940/8000 270s eta 2.8m (1098/min) 
[pools] 4960/8000 271s eta 2.8m (1100/min) 
[pools] 4980/8000 272s eta 2.7m (1099/min) 
[pools] 5000/8000 273s eta 2.7m (1100/min) 
[pools] 5020/8000 273s eta 2.7m (1102/min) 
[pools] 5040/8000 274s eta 2.7m (1103/min) 
[pools] 5060/8000 276s eta 2.7m (1102/min) 
[pools] 5080/8000 276s eta 2.6m (1103/min) 
[pools] 5100/8000 277s eta 2.6m (1103/min) 
