exp29 frontier self-play: 6000 deals (KONTRA=1, full auction, PIMC play)
[selfplay] 25/6000 14s eta 55.8m  passz 20%
[selfplay] 50/6000 26s eta 51.5m  passz 12%
[selfplay] 75/6000 42s eta 55.1m  passz 15%
[selfplay] 100/6000 53s eta 51.8m  passz 13%
[selfplay] 125/6000 66s eta 51.5m  passz 14%
[selfplay] 150/6000 82s eta 53.2m  passz 13%
[selfplay] 175/6000 96s eta 53.4m  passz 12%
[selfplay] 200/6000 108s eta 52.0m  passz 12%
[selfplay] 225/6000 119s eta 50.9m  passz 12%
[selfplay] 250/6000 132s eta 50.6m  passz 12%
[selfplay] 275/6000 150s eta 51.9m  passz 11%
[selfplay] 300/6000 165s eta 52.2m  passz 11%
[selfplay] 325/6000 180s eta 52.4m  passz 12%
[selfplay] 350/6000 191s eta 51.4m  passz 11%
[selfplay] 375/6000 206s eta 51.6m  passz 11%
[selfplay] 400/6000 218s eta 50.8m  passz 11%
[selfplay] 425/6000 228s eta 49.9m  passz 11%
[selfplay] 450/6000 240s eta 49.3m  passz 11%
[selfplay] 475/6000 251s eta 48.6m  passz 11%
[selfplay] 500/6000 257s eta 47.2m  passz 11%
[selfplay] 525/6000 270s eta 46.9m  passz 11%
[selfplay] 550/6000 280s eta 46.2m  passz 11%
[selfplay] 575/6000 292s eta 45.9m  passz 11%
[selfplay] 600/6000 308s eta 46.2m  passz 11%
[selfplay] 625/6000 325s eta 46.5m  passz 10%
[selfplay] 650/6000 343s eta 47.0m  passz 10%
[selfplay] 675/6000 358s eta 47.1m  passz 10%
[selfplay] 700/6000 367s eta 46.3m  passz 11%
[selfplay] 725/6000 379s eta 46.0m  passz 11%
[selfplay] 750/6000 394s eta 46.0m  passz 11%
[selfplay] 775/6000 408s eta 45.9m  passz 11%
[selfplay] 800/6000 417s eta 45.1m  passz 11%
[selfplay] 825/6000 430s eta 45.0m  passz 11%
[selfplay] 850/6000 445s eta 44.9m  passz 11%
[selfplay] 875/6000 457s eta 44.6m  passz 11%
[selfplay] 900/6000 469s eta 44.3m  passz 11%
[selfplay] 925/6000 483s eta 44.2m  passz 11%
[selfplay] 950/6000 494s eta 43.7m  passz 11%
[selfplay] 975/6000 506s eta 43.5m  passz 11%
[selfplay] 1000/6000 515s eta 42.9m  passz 11%
[selfplay] 1025/6000 527s eta 42.7m  passz 11%
[selfplay] 1050/6000 536s eta 42.2m  passz 11%
[selfplay] 1075/6000 552s eta 42.1m  passz 11%
[selfplay] 1100/6000 568s eta 42.1m  passz 11%
[selfplay] 1125/6000 581s eta 42.0m  passz 11%
[selfplay] 1150/6000 602s eta 42.3m  passz 11%
[selfplay] 1175/6000 620s eta 42.4m  passz 11%
[selfplay] 1200/6000 629s eta 42.0m  passz 12%
[selfplay] 1225/6000 642s eta 41.7m  passz 12%
[selfplay] 1250/6000 653s eta 41.4m  passz 12%
[selfplay] 1275/6000 665s eta 41.0m  passz 12%
[selfplay] 1300/6000 681s eta 41.1m  passz 12%
[selfplay] 1325/6000 696s eta 41.0m  passz 12%
[selfplay] 1350/6000 710s eta 40.8m  passz 11%
[selfplay] 1375/6000 725s eta 40.6m  passz 11%
[selfplay] 1400/6000 738s eta 40.4m  passz 11%
[selfplay] 1425/6000 755s eta 40.4m  passz 11%
[selfplay] 1450/6000 768s eta 40.2m  passz 11%
[selfplay] 1475/6000 780s eta 39.9m  passz 11%
[selfplay] 1500/6000 792s eta 39.6m  passz 11%
[selfplay] 1525/6000 806s eta 39.4m  passz 11%
[selfplay] 1550/6000 817s eta 39.1m  passz 11%
[selfplay] 1575/6000 835s eta 39.1m  passz 11%
[selfplay] 1600/6000 845s eta 38.7m  passz 11%
[selfplay] 1625/6000 860s eta 38.6m  passz 11%
[selfplay] 1650/6000 872s eta 38.3m  passz 11%
[selfplay] 1675/6000 884s eta 38.0m  passz 11%
[selfplay] 1700/6000 897s eta 37.8m  passz 11%
[selfplay] 1725/6000 911s eta 37.6m  passz 11%
[selfplay] 1750/6000 922s eta 37.3m  passz 11%
[selfplay] 1775/6000 935s eta 37.1m  passz 11%
[selfplay] 1800/6000 947s eta 36.8m  passz 11%
[selfplay] 1825/6000 964s eta 36.8m  passz 11%
[selfplay] 1850/6000 978s eta 36.6m  passz 11%
[selfplay] 1875/6000 992s eta 36.4m  passz 11%
[selfplay] 1900/6000 1005s eta 36.1m  passz 11%
[selfplay] 1925/6000 1017s eta 35.9m  passz 11%
[selfplay] 1950/6000 1031s eta 35.7m  passz 11%
[selfplay] 1975/6000 1045s eta 35.5m  passz 11%
[selfplay] 2000/6000 1054s eta 35.1m  passz 11%
[selfplay] 2025/6000 1071s eta 35.0m  passz 11%
[selfplay] 2050/6000 1085s eta 34.8m  passz 10%
[selfplay] 2075/6000 1096s eta 34.6m  passz 11%
[selfplay] 2100/6000 1106s eta 34.2m  passz 11%
[selfplay] 2125/6000 1120s eta 34.0m  passz 11%
[selfplay] 2150/6000 1129s eta 33.7m  passz 11%
[selfplay] 2175/6000 1141s eta 33.4m  passz 11%
[selfplay] 2200/6000 1149s eta 33.1m  passz 10%
[selfplay] 2225/6000 1163s eta 32.9m  passz 10%
[selfplay] 2250/6000 1180s eta 32.8m  passz 10%
[selfplay] 2275/6000 1197s eta 32.7m  passz 10%
[selfplay] 2300/6000 1218s eta 32.6m  passz 10%
[selfplay] 2325/6000 1232s eta 32.5m  passz 10%
[selfplay] 2350/6000 1249s eta 32.3m  passz 10%
[selfplay] 2375/6000 1265s eta 32.2m  passz 10%
[selfplay] 2400/6000 1278s eta 31.9m  passz 10%
[selfplay] 2425/6000 1295s eta 31.8m  passz 10%
[selfplay] 2450/6000 1313s eta 31.7m  passz 10%
[selfplay] 2475/6000 1323s eta 31.4m  passz 10%
[selfplay] 2500/6000 1335s eta 31.2m  passz 10%
[selfplay] 2525/6000 1349s eta 30.9m  passz 10%
[selfplay] 2550/6000 1357s eta 30.6m  passz 10%
[selfplay] 2575/6000 1372s eta 30.4m  passz 10%
[selfplay] 2600/6000 1385s eta 30.2m  passz 10%
[selfplay] 2625/6000 1396s eta 29.9m  passz 11%
[selfplay] 2650/6000 1406s eta 29.6m  passz 11%
[selfplay] 2675/6000 1416s eta 29.3m  passz 11%
[selfplay] 2700/6000 1426s eta 29.0m  passz 11%
[selfplay] 2725/6000 1438s eta 28.8m  passz 11%
[selfplay] 2750/6000 1450s eta 28.6m  passz 11%
[selfplay] 2775/6000 1462s eta 28.3m  passz 11%
[selfplay] 2800/6000 1473s eta 28.1m  passz 11%
[selfplay] 2825/6000 1485s eta 27.8m  passz 11%
[selfplay] 2850/6000 1494s eta 27.5m  passz 11%
[selfplay] 2875/6000 1507s eta 27.3m  passz 11%
[selfplay] 2900/6000 1522s eta 27.1m  passz 11%
[selfplay] 2925/6000 1537s eta 26.9m  passz 11%
[selfplay] 2950/6000 1552s eta 26.7m  passz 11%
[selfplay] 2975/6000 1568s eta 26.6m  passz 10%
[selfplay] 3000/6000 1579s eta 26.3m  passz 10%
[selfplay] 3025/6000 1595s eta 26.1m  passz 10%
[selfplay] 3050/6000 1605s eta 25.9m  passz 11%
[selfplay] 3075/6000 1621s eta 25.7m  passz 11%
[selfplay] 3100/6000 1638s eta 25.5m  passz 11%
[selfplay] 3125/6000 1655s eta 25.4m  passz 10%
[selfplay] 3150/6000 1674s eta 25.2m  passz 10%
[selfplay] 3175/6000 1686s eta 25.0m  passz 10%
[selfplay] 3200/6000 1702s eta 24.8m  passz 10%
[selfplay] 3225/6000 1716s eta 24.6m  passz 11%
[selfplay] 3250/6000 1727s eta 24.4m  passz 11%
[selfplay] 3275/6000 1739s eta 24.1m  passz 11%
[selfplay] 3300/6000 1750s eta 23.9m  passz 11%
[selfplay] 3325/6000 1763s eta 23.6m  passz 11%
[selfplay] 3350/6000 1780s eta 23.5m  passz 11%
[selfplay] 3375/6000 1795s eta 23.3m  passz 11%
[selfplay] 3400/6000 1807s eta 23.0m  passz 11%
[selfplay] 3425/6000 1820s eta 22.8m  passz 11%
[selfplay] 3450/6000 1833s eta 22.6m  passz 11%
[selfplay] 3475/6000 1847s eta 22.4m  passz 11%
[selfplay] 3500/6000 1858s eta 22.1m  passz 11%
[selfplay] 3525/6000 1873s eta 21.9m  passz 11%
[selfplay] 3550/6000 1886s eta 21.7m  passz 11%
[selfplay] 3575/6000 1902s eta 21.5m  passz 11%
[selfplay] 3600/6000 1912s eta 21.2m  passz 11%
[selfplay] 3625/6000 1923s eta 21.0m  passz 11%
[selfplay] 3650/6000 1941s eta 20.8m  passz 11%
[selfplay] 3675/6000 1951s eta 20.6m  passz 11%
[selfplay] 3700/6000 1961s eta 20.3m  passz 11%
[selfplay] 3725/6000 1971s eta 20.1m  passz 11%
[selfplay] 3750/6000 1988s eta 19.9m  passz 11%
[selfplay] 3775/6000 2005s eta 19.7m  passz 11%
[selfplay] 3800/6000 2017s eta 19.5m  passz 11%
[selfplay] 3825/6000 2027s eta 19.2m  passz 11%
[selfplay] 3850/6000 2042s eta 19.0m  passz 11%
[selfplay] 3875/6000 2056s eta 18.8m  passz 11%
[selfplay] 3900/6000 2070s eta 18.6m  passz 11%
[selfplay] 3925/6000 2080s eta 18.3m  passz 11%
[selfplay] 3950/6000 2090s eta 18.1m  passz 11%
[selfplay] 3975/6000 2103s eta 17.9m  passz 11%
[selfplay] 4000/6000 2118s eta 17.6m  passz 11%
[selfplay] 4025/6000 2137s eta 17.5m  passz 11%
[selfplay] 4050/6000 2147s eta 17.2m  passz 11%
[selfplay] 4075/6000 2160s eta 17.0m  passz 11%
[selfplay] 4100/6000 2172s eta 16.8m  passz 11%
[selfplay] 4125/6000 2194s eta 16.6m  passz 11%
